Date,Open,High,Low,Close,Volume,Market Cap,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
2018-02-20,11231.8,11958.5,11231.8,11403.7,9926540000,189536000000,11390.3916667,16876825,192233646840,1258473015.6,157664.996336,1.01084026241,0,1407.4822695,8.46666666667,21079198.6661,2967853337740,20189469.2292,52.23072575,1.39161711339,104.157082139,455116,198455,300576632,191891,139951,1268017.87933,130404.455959,1485357828.45
2018-02-19,10552.6,11273.8,10513.2,11225.3,7652090000,178055000000,11110.965,16875062.5,187498228810,1020588579.34,157522.467859,1.00658407407,0,1156.58641975,8.41666666667,23149934.669,2874674234420,22566369.915,50.9081119,2.00620705713,123.102480023,436341,187367,300378177,181922,135051,1789525.59119,103474.270242,1149698995.06
2018-02-18,11123.4,11349.8,10326,10551.8,8744010000,187663000000,10503.2983333,16873037.5,177222546652,1377347061.42,157359.401239,0.97276667284,0,984.537037037,6.96666666667,23149934.669,2874674234420,21269179.125,44.58328081,2.59801801542,136.28922928,378869,159495,300190810,153951,113528,1639023.58067,79660.081975,836693606.242
2018-02-17,10207.5,11139.5,10149.4,11112.7,8660880000,172191000000,10841.9916667,16871012.5,182915376933,973554319.908,157201.813038,0.973017181208,0,1166.36912752,7.93333333333,21292223.8622,2874674234420,20236577.4458,48.63875388,2.3625252883,119.228204567,401860,173789,300031315,167847,122775,1473900.18968,80893.8961772,877050948.237
2018-02-16,10135.7,10324.1,9824.82,10233.9,7296160000,170960000000,10127.1616667,16869150,170836609229,866501985.708,157056.833478,0.989634394904,0,1195.78343949,6.61666666667,22435430.5125,2874674234420,19925190.5792,58.25713445,1.89334009812,109.005817627,422415,187738,299857526,180685,126413,1102895.65945,106729.749001,1080869422.77
2018-02-15,9488.32,10234.8,9395.58,10166.4,9062540000,160025000000,9977.154,16867187.5,168286527234,1282426210.89,156901.460878,1.06389496183,0,1512.84732824,8.48333333333,18720008.899,2874674234420,16527155.601,64.08005499,1.31721264798,85.6628785111,475029,198183,299669788,194351,139075,1418774.18366,129180.361091,1288852356.38
2018-02-14,8599.92,9518.54,8599.92,9494.63,7909820000,145023000000,9334.63333333,16865550,157433725215,915165499.846,156762.090638,1.0158348324,0,1097.30167598,10.225,25579248.8009,2874674234420,20951584.5167,63.75846926,1.55388066737,109.36631766000001,450367,196417,299471605,192621,140594,1557016.97897,148097.503082,1382435888.86
2018-02-13,8926.72,8958.47,8455.41,8598.31,5696720000,150516000000,8597.7675,16863312.5,144986840155,188454378.603,156580.256203,1.03295615854,0,1115.75609756,11.05,23435736.3316,2874674234420,17728596.585,68.57325292,1.44189933042,99.5442238683,414749,182984,299275188,179616,128687,1315762.89939,146929.345775,1263264353.9
2018-02-12,8141.43,8985.92,8141.43,8926.57,6256440000,137258000000,8811.34333333,16861262.5,148570372921,836623674.313,156410.851393,1.04129159036,0,1126.01204819,10.2,23721537.9942,2874674234420,18398084.88,69.96971094,1.18487201544,101.11420282,437380,186918,299092204,183345,133062,1674741.82472,181029.654089,1595114435.69
2018-02-11,8616.13,8616.13,7931.1,8129.97,6122190000,145245000000,8343.455,16859187.5,140663872243,796391653.709,156237.996989,1.00691915232,0,974.887417219,7.53333333333,21578025.5248,2874674234420,15831705.8625,61.96458348,2.27231640442,110.491753345,368624,147208,298905286,144165,108927,1398605.05385,85791.9513183,715801285.187
